age,education,marital,country
39, Bachelors, Never-married, United-States
50, Bachelors, Married-civ-spouse, United-States
38, HS-grad, Divorced, United-States
53, 11th, Married-civ-spouse, United-States
28, Bachelors, Married-civ-spouse, Cuba
37, Masters, Married-civ-spouse, United-States
49, 9th, Married-spouse-absent, Jamaica
52, HS-grad, Married-civ-spouse, United-States
31, Masters, Never-married, United-States
42, Bachelors, Married-civ-spouse, United-States
37, Some-college, Married-civ-spouse, United-States
30, Bachelors, Married-civ-spouse, India
23, Bachelors, Never-married, United-States
32, Assoc-acdm, Never-married, United-States
40, Assoc-voc, Married-civ-spouse,
34, 7th-8th, Married-civ-spouse, Mexico
25, HS-grad, Never-married, United-States
32, HS-grad, Never-married, United-States
38, 11th, Married-civ-spouse, United-States
43, Masters, Divorced, United-States
40, Doctorate, Married-civ-spouse, United-States
54, HS-grad, Separated, United-States
35, 9th, Married-civ-spouse, United-States
43, 11th, Married-civ-spouse, United-States
59, HS-grad, Divorced, United-States
56, Bachelors, Married-civ-spouse, United-States
19, HS-grad, Never-married, United-States
54, Some-college, Married-civ-spouse, South
39, HS-grad, Divorced, United-States
49, HS-grad, Married-civ-spouse, United-States
23, Assoc-acdm, Never-married, United-States
20, Some-college, Never-married, United-States
45, Bachelors, Divorced, United-States
30, Some-college, Married-civ-spouse, United-States
22, Some-college, Married-civ-spouse, United-States
48, 11th, Never-married, Puerto-Rico
21, Some-college, Never-married, United-States
19, HS-grad, Married-AF-spouse, United-States
31, Some-college, Married-civ-spouse,
48, Assoc-acdm, Married-civ-spouse, United-States
31, 9th, Married-civ-spouse, United-States
53, Bachelors, Married-civ-spouse, United-States
24, Bachelors, Married-civ-spouse, United-States
49, HS-grad, Separated, United-States
25, HS-grad, Never-married, United-States
57, Bachelors, Married-civ-spouse, United-States
53, HS-grad, Married-civ-spouse, United-States
44, Masters, Divorced, United-States
41, Assoc-voc, Married-civ-spouse, United-States
29, Assoc-voc, Never-married, United-States
25, Some-college, Married-civ-spouse, United-States
18, HS-grad, Never-married,
47, Prof-school, Married-civ-spouse, Honduras
50, Bachelors, Divorced, United-States
47, HS-grad, Divorced, United-States
43, Some-college, Married-civ-spouse, United-States
46, 5th-6th, Married-civ-spouse, Mexico
35, Assoc-voc, Married-civ-spouse, Puerto-Rico
41, HS-grad, Married-civ-spouse, United-States
30, HS-grad, Married-civ-spouse, United-States
30, Bachelors, Married-civ-spouse, United-States
32, 7th-8th, Married-spouse-absent,
48, HS-grad, Married-civ-spouse, United-States
42, Doctorate, Married-civ-spouse, United-States
29, Some-college, Divorced, United-States
36, HS-grad, Married-civ-spouse, United-States
28, Some-college, Divorced, United-States
53, HS-grad, Married-civ-spouse, United-States
49, Some-college, Married-civ-spouse, United-States
25, Some-college, Never-married, United-States
19, Some-college, Never-married, United-States
31, Bachelors, Separated, United-States
29, Bachelors, Married-civ-spouse, United-States
23, Some-college, Never-married, United-States
79, Some-college, Married-civ-spouse, United-States
27, HS-grad, Never-married, Mexico
40, Assoc-acdm, Married-civ-spouse, United-States
67, 10th, Married-civ-spouse, United-States
18, 11th, Never-married, United-States
31, 7th-8th, Married-civ-spouse, United-States
18, HS-grad, Never-married, United-States
52, Bachelors, Married-civ-spouse, Cuba
46, HS-grad, Married-civ-spouse, United-States
59, HS-grad, Married-civ-spouse, United-States
44, HS-grad, Divorced, United-States
53, HS-grad, Divorced, United-States
49, HS-grad, Married-civ-spouse, United-States
33, Masters, Married-civ-spouse, United-States
30, 9th, Never-married, United-States
43, Doctorate, Never-married, United-States
57, Assoc-voc, Married-civ-spouse, United-States
37, Some-college, Divorced, United-States
